seed,sample,ranking_score
1,0,0.9259778960503601
1,1,0.9704358879880187
1,2,0.969763464866334
1,3,0.9683910969175712
1,4,0.9266078319505707
2,0,0.9680350168880079
2,1,0.9327668020708395
2,2,0.968791945054786
2,3,0.9681601051222599
2,4,0.9673962833865433
3,0,0.9689187983486256
3,1,0.9696651381762094
3,2,0.9700842280684694
3,3,0.9366472634669504
3,4,0.9701389324942881
4,0,0.9692620783032426
4,1,0.9673911114516482
4,2,0.9688570700307532
4,3,0.9689028150270044
4,4,0.9679329552271054
5,0,0.9241597346564443
5,1,0.9261399543122193
5,2,0.9268025449976385
5,3,0.9684400835996303
5,4,0.9690623879542732
6,0,0.9677475616574018
6,1,0.9283388783328134
6,2,0.9692818788318307
6,3,0.9326205668255496
6,4,0.9678571464102619
7,0,0.9282188044624393
7,1,0.9695522367612426
7,2,0.9693613212915759
7,3,0.970685164426695
7,4,0.9272015427469479
8,0,0.9241454817069443
8,1,0.9695165882539958
8,2,0.9699167484729206
8,3,0.9692093402929156
8,4,0.9694758818220637
9,0,0.9663583617604659
9,1,0.9235330114465878
9,2,0.9276982743217184
9,3,0.9236679924836199
9,4,0.9669295145293999
10,0,0.9286138070421108
10,1,0.9371778511520021
10,2,0.9692678709336957
10,3,0.9271012432774344
10,4,0.9683267231843016
