seed,sample,ranking_score
1,0,0.8723591917394703
1,1,0.8720303294162154
1,2,0.8594233185056537
1,3,0.79625229743646
1,4,0.8529025541459643
2,0,0.8561916823615996
2,1,0.8588599003214692
2,2,0.871417764264073
2,3,0.8771939130117142
2,4,0.8765879275574048
3,0,0.8946735980886832
3,1,0.8827010970710308
3,2,0.8921709471696789
3,3,0.8866827399186484
3,4,0.8836414142871917
4,0,0.8660567709241312
4,1,0.8477279004069513
4,2,0.8729018513342016
4,3,0.8753908246979122
4,4,0.8730256899894757
5,0,0.8515896932205966
5,1,0.875629087774942
5,2,0.8676132745126313
5,3,0.8684150146555453
5,4,0.8782538007240551
6,0,0.8784331498856276
6,1,0.8862800914875802
6,2,0.870410248845378
6,3,0.8927837243158727
6,4,0.8883048977931752
7,0,0.8789732313555046
7,1,0.8783000718084487
7,2,0.8934625865039147
7,3,0.8883534835147854
7,4,0.8735082812092547
8,0,0.8875817636570517
8,1,0.8718546610495729
8,2,0.8719257128285843
8,3,0.8990402492768481
8,4,0.8882715035959409
9,0,0.8913626536563838
9,1,0.8890825281349691
9,2,0.9085599511342003
9,3,0.896559466395515
9,4,0.8965962348933051
10,0,0.86266738301999
10,1,0.8698759884945644
10,2,0.861385352267969
10,3,0.8750272789073519
10,4,0.8590462840081599
