seed,sample,ranking_score
1,0,0.5222466296803716
1,1,0.5013384205538217
1,2,0.595315674289339
1,3,0.558707096682506
1,4,0.5362553519015343
2,0,0.4940778339238866
2,1,0.4768859663509004
2,2,0.4344393946018434
2,3,0.47660119076974594
2,4,0.46820607499329464
3,0,0.5378490237443716
3,1,0.534972369972858
3,2,0.5424871184252281
3,3,0.542498162245542
3,4,0.579564257193537
4,0,0.7412522095326258
4,1,0.745377509222117
4,2,0.7310628098718542
4,3,0.7970387088493044
4,4,0.7590046372497384
5,0,0.5441901223107609
5,1,0.5697592721496596
5,2,0.5325174844942326
5,3,0.5373316479716745
5,4,0.5397516735753731
6,0,0.5670079596672307
6,1,0.5128184948336966
6,2,0.49102366910664047
6,3,0.5669669126359133
6,4,0.5249151305134411
7,0,0.4965582471778605
7,1,0.4762347216579232
7,2,0.5198507496909561
7,3,0.4963678683180311
7,4,0.5075215962678894
8,0,0.6130547630225462
8,1,0.46207179099904827
8,2,0.45073986928257953
8,3,0.4597559411573954
8,4,0.4727249805126939
9,0,0.45756466964699116
9,1,0.45781664525784554
9,2,0.48365042556474075
9,3,0.4660251264931412
9,4,0.4826665868832423
10,0,0.4648831732673724
10,1,0.5044737253877933
10,2,0.5094025512259662
10,3,0.4807889870527893
10,4,0.5029601370096651
