seed,sample,ranking_score
1,0,1.0082135899294475
1,1,1.0166116737302948
1,2,1.0156069795174598
1,3,1.0175500442424832
1,4,1.0139667143565523
2,0,1.0176469894994313
2,1,1.0157601009449144
2,2,1.0160815022754632
2,3,1.0161735076839238
2,4,1.0149558938662289
3,0,1.0051265412397117
3,1,1.0165445660486918
3,2,1.0137208476382826
3,3,1.015496079904952
3,4,1.015809255293597
4,0,1.013884432031825
4,1,1.01512243459212
4,2,1.0151950242485255
4,3,1.002791845355301
4,4,1.0138049941991225
5,0,1.01680377209302
5,1,1.0126546386749191
5,2,1.0125579740922985
5,3,1.0170218755740859
5,4,1.0109351548759542
6,0,1.015293515757969
6,1,1.004756188056857
6,2,1.015215357737487
6,3,1.0169037970356176
6,4,1.0059256398371956
7,0,1.007607985052596
7,1,1.014245856323552
7,2,1.0154272385558927
7,3,1.0137410254327732
7,4,1.0086107424487194
8,0,1.0057578252015433
8,1,1.0152018163556402
8,2,1.0139821259403106
8,3,1.0146726262239283
8,4,1.0149811185289934
9,0,1.0153543874998092
9,1,1.0158802076035376
9,2,1.0163862586243233
9,3,1.016125060880437
9,4,1.015317944775788
10,0,1.0138217472561797
10,1,1.020113977207582
10,2,1.0172586590139594
10,3,1.0167884038671369
10,4,1.0180328346031262
