seed,sample,ranking_score
1,0,0.9754635321098101
1,1,0.9754628662387516
1,2,0.9756965025133045
1,3,0.9758269275357712
1,4,0.9760367916073895
2,0,0.9757795225624044
2,1,0.9757342502949968
2,2,0.9758956664062
2,3,0.9761331759272218
2,4,0.9755994437327209
3,0,0.975761411377704
3,1,0.975631053965287
3,2,0.9759305343223845
3,3,0.9758300684225357
3,4,0.9757357099444368
4,0,0.9744784249286937
4,1,0.974406297494155
4,2,0.9373060597481131
4,3,0.9740229105619491
4,4,0.9741277527148954
5,0,0.9764389348631521
5,1,0.9768342585419139
5,2,0.976735678537751
5,3,0.9768058951133669
5,4,0.9764346903763655
6,0,0.9758400878219511
6,1,0.9760941986500908
6,2,0.9307365186816425
6,3,0.975565858480256
6,4,0.9756696643039464
7,0,0.9763050793130452
7,1,0.9763803995304835
7,2,0.976311788727571
7,3,0.9764640604119506
7,4,0.9295704704264449
8,0,0.9765651671866085
8,1,0.9761235858178359
8,2,0.9763010709549027
8,3,0.9764352930005912
8,4,0.9759769928116742
9,0,0.9751988990357844
9,1,0.9757196140847438
9,2,0.9755086720642903
9,3,0.9756151444019119
9,4,0.9757539019511174
10,0,0.9764061852489929
10,1,0.9759409773671148
10,2,0.9759962225375572
10,3,0.9763475233942307
10,4,0.9375461044993956
