seed,sample,ranking_score
1,0,0.9031409594496936
1,1,0.9006610607328286
1,2,0.942928048925295
1,3,0.9052691423135029
1,4,0.9363053161109118
2,0,0.9085439660539414
2,1,0.8994100163938668
2,2,0.9037644542940718
2,3,0.9018551607246378
2,4,0.930057475208434
3,0,0.9070814058712691
3,1,0.9119519294495759
3,2,0.8981476587431574
3,3,0.9028295963988198
3,4,0.899604501919575
4,0,0.8995021160105307
4,1,0.9033276367892429
4,2,0.9119624770353446
4,3,0.9149612248923574
4,4,0.8997600496704853
5,0,0.9078406760232274
5,1,0.9005396356007135
5,2,0.9049341668700721
5,3,0.8982508605100384
5,4,0.9011841707869637
6,0,0.897553540945897
6,1,0.9080653217992838
6,2,0.9093673525828085
6,3,0.900617275871251
6,4,0.8990021955740388
7,0,0.9024336450738194
7,1,0.9004481875245942
7,2,0.898980887783297
7,3,0.8985939973689661
7,4,0.9000571096592793
8,0,0.899069748468136
8,1,0.9065132854051922
8,2,0.9059254853904064
8,3,0.9181257834551807
8,4,0.9310340945053924
9,0,0.9005798973281867
9,1,0.9038795569678276
9,2,0.9003227377384391
9,3,0.8978407296350792
9,4,0.9011487962402722
10,0,0.9045981776479847
10,1,0.9028721466645367
10,2,0.9010438791645519
10,3,0.9024385792083025
10,4,0.899573443834168
